Ghost-al Vote
1em,-55,45,-25,35
territory,alignment,holder,emPosX,emPosY
Kingstanding,nos,Mr Streed,-5.5,-19
Erdington,lance,Axel Warden,11,-16
Witton,enemy,???,-0.5,-13
Perry Barr,enemy,???,-20,-13
Handsworth,invictus,Madame Lee,-46,-8
Lozells,enemy,???,-32.5,-6
Aston,enemy,???,-19.5,-5
City Centre,enemy,???,-9.5,-0.5
Nechells,enemy,???,-1,-6
Ward End,enemy,???,9,-3
Hodge Hill,ventrue,Madame Simmons,20,-4
Castle Bromwich,enemy,???,22,-11
Lea Hall,enemy,???,33,-2
Summerfield,personal,Jasper Carlyle,-33,2
Ladywood,enemy,???,-20,6
The Rack,court,NONE,-9,4.5
Sparkbrook,enemy,???,1,7
Bordesley Green,enemy,???,13,5
Yardley,mekhet,Vesper Raeden,25,5
Marston Green,enemy,???,37,7.5
Acocks Green,gangrel,Lykofron,22,14
Tyseley,enemy,???,10,13
Yardley Wood,enemy,???,12,22
Kings Heath,ordo,Chester Willard,-2,26
Moseley,enemy,???,-1,16
Kings Norton,enemy,???,-21,28
Bournville,crone,Keir of Haworth,-16,21
Selly Oak,enemy,???,-19,14.5
Edgbaston,enemy,???,-9,10.5
Harborne,enemy,???,-32,10
Quinton,daeva,Acacia Smith,-45,9
Bartley Green,enemy,???,-46,17
Weoley,carthian,Cora Gettins,-33,18
Northfield,enemy,???,-39,26
ADJ_KNG_ERD,52%,9.6%,64%,14%,side,side
ADJ_KNG_WTN,49.5%,11.5%,54%,18%,top,top
ADJ_KNG_PBR,46%,9.6%,38%,19%,side,side
ADJ_PBR_WTN,38%,21%,52.5%,20%,side,side
ADJ_WTN_ERD,56.5%,20%,64%,16.5%,side,side
ADJ_ERD_CTB,69%,15%,77%,23%,side,top
ADJ_CTB_HHL,77%,26%,75.5%,31.5%,top,top
ADJ_HHL_LEA,76%,35%,87%,37%,side,side
ADJ_LEA_MGR,88.5%,41%,91%,53%,top,top
ADJ_MGR_YDL,89%,54%,81%,49%,side,side
ADJ_MGR_ACK,91%,57%,81%,65%,top,side
ADJ_ACK_YDL,77%,64%,79.5%,52%,top,top
ADJ_LEA_YDL,87%,39.25%,80%,49%,side,top
ADJ_BDG_YDL,72%,50%,79%,49.5%,side,side
ADJ_HHL_WDN,73%,35%,65%,37%,side,side
ADJ_ERD_WDN,66%,18%,63.75%,37%,top,top
ADJ_WTN_NCH,54.5%,22.5%,54%,30%,top,top
ADJ_NCH_WDN,55%,30%,62%,36%,side,side
ADJ_NCH_CTC,52%,34.5%,48%,39%,top,side
ADJ_NCH_AST,52%,30.5%,39%,32%,side,side
ADJ_AST_CTC,38%,34.5%,42.5%,39%,top,side
ADJ_CTC_RCK,45.5%,42%,45.75%,49%,top,top
ADJ_PBR_HDS,32%,19%,9%,27%,side,top
ADJ_PBR_LZS,35%,20.75%,24%,31%,side,top
ADJ_LZS_AST,25%,31.5%,34%,33.5%,side,side
ADJ_HDS_LZS,10%,28%,20%,31.5%,side,side
ADJ_LZS_SMR,22.5%,33.5%,22%,42.5%,top,top
ADJ_HDS_QTN,7.5%,27%,8.5%,57%,top,top
ADJ_SMR_QTN,21%,45%,11%,57%,top,top
ADJ_AST_LDY,34%,34.5%,35%,49%,top,top
ADJ_SMR_LDY,24%,44.5%,32%,51.5%,side,side
ADJ_LDY_RCK,37%,51%,44%,49.5%,side,side
ADJ_NCH_SPK,54%,34.5%,56%,52%,top,top
ADJ_RCK_SPK,48%,49%,53%,53%,side,side
ADJ_SPK_BDG,58.5%,53%,64%,50%,side,side
ADJ_WDN_BDG,65%,39%,68%,49%,top,top
ADJ_SMR_HBN,23%,46%,22.5%,56%,top,top
ADJ_QTN_HBN,13%,56.5%,21%,58%,side,side
ADJ_LDY_EDG,35.25%,54%,43%,59%,top,side
ADJ_RCK_EDG,46%,49%,46.25%,58%,top,top
ADJ_EDG_SPK,49%,59%,55.5%,57%,side,top
ADJ_HBN_SLY,22%,60%,34%,66%,side,side
ADJ_SLY_EDG,39%,66%,45.5%,61%,side,top
ADJ_EDG_MSY,47%,61.5%,53%,66%,top,top
ADJ_SPK_TYS,58.5%,55%,64%,61%,side,top
ADJ_BDG_TYS,68%,51%,66%,61%,top,top
ADJ_TYS_ACK,67%,63.5%,74%,65%,side,side
ADJ_MSY_TYS,55%,68.5%,64%,63.5%,side,side
ADJ_ACK_YDW,76%,67%,68.5%,76.5%,top,top
ADJ_KGH_YDW,55%,86%,64%,78%,side,side
ADJ_KGH_MSY,53%,82%,54%,71%,top,top
ADJ_BNV_MSY,42%,77%,53%,68%,side,side
ADJ_SLY_BNV,36%,68%,39%,75%,top,top
ADJ_BNV_KSN,38%,78.5%,35%,86.5%,top,top
ADJ_KSN_KGH,37%,88%,50%,85%,side,side
ADJ_SLY_WLY,34%,68%,26%,71.5%,top,side
ADJ_HBN_WLY,23%,60%,22%,69.5%,top,top
ADJ_QTN_BTG,9.5%,59%,9%,68%,top,top
ADJ_BTG_WLY,11.5%,70%,18%,72%,side,side
ADJ_BTG_NTH,9%,72%,13%,85%,top,side
ADJ_NTH_WLY,17%,84%,22%,73%,top,top
ADJ_NTH_KSN,19%,85%,31%,88%,side,side
