The Peacocks Will Continue Until Morale Improves
1em,-55,45,-25,35
territory,alignment,holder,emPosX,emPosY
Kingstanding,nos,Mr Streed,-5.5,-19
Erdington,lance,Axel Warden,11,-16
Witton,nos,Skitter,0,-13
Perry Barr,enemy,???,-18,-12
Handsworth,invictus,Madame Lee,-46,-10
Lozells,invictus,Mr Hawthorn,-32.5,-7
Aston,invictus,Unassigned,-19.5,-4
City Centre,enemy,???,-9.5,-1.5
Nechells,lance,Axel Warden,-1,-6
Ward End,lance,Jane Bodkin Adams,9,-3
Hodge Hill,ventrue,Madame Simmons,20,-4
Castle Bromwich,enemy,???,22,-11
Lea Hall,enemy,???,33,-2
Summerfield,personal,Axel Warden,-32,2
Ladywood,invictus,Lady Themis,-20,6
The Rack,court,NONE,-9,4.5
Sparkbrook,carthian,Julius Cheyne,1,7.5
Bordesley Green,enemy,???,13,5
Yardley,mekhet,Vesper Raeden,25,5
Marston Green,enemy,???,37,7.5
Acocks Green,gangrel,Lykofron,22,14
Tyseley,enemy,???,10,13
Yardley Wood,gangrel,Alice Maddocks,12,22
Kings Heath,ordo,Chester Willard,-2,26
Moseley,crone,Fang,-1,16
Kings Norton,ordo,Isadora Jones,-21,28
Bournville,crone,Keir of Haworth,-16,21
Selly Oak,carthian,Acacia Smith,-19,14.5
Edgbaston,enemy,???,-9,10.5
Harborne,enemy,???,-32,10
Quinton,daeva,Acacia Smith,-45,9
Bartley Green,enemy,???,-46,17
Weoley,carthian,Cora Gettins,-33,18
Northfield,enemy,???,-39,26
ADJ_KNG_ERD,52%,9.6%,64%,14%,side,side
ADJ_KNG_PBR,46%,9.6%,40%,20%,side,side
ADJ_PBR_WTN,40%,21.5%,52.5%,20%,side,side
ADJ_WTN_ERD,56.5%,20%,64%,16.5%,side,side
ADJ_ERD_CTB,69%,15%,77%,23%,side,top
ADJ_CTB_HHL,77%,26%,75.5%,31.5%,top,top
ADJ_HHL_LEA,76%,35%,87%,38%,side,side
ADJ_LEA_MGR,88.5%,41%,91%,53%,top,top
ADJ_MGR_YDL,89%,54%,81%,49%,side,side
ADJ_MGR_ACK,91%,57%,81%,65%,top,side
ADJ_ACK_YDL,77%,64%,79.5%,52%,top,top
ADJ_LEA_YDL,87%,39%,80%,49%,side,top
ADJ_BDG_YDL,72%,50%,79%,49.5%,side,side
ADJ_HHL_WDN,73%,35%,65%,38%,side,side
